year,latitude,longitude,scientific_name
2015,40.43620347,-79.90818892,Lycorma delicatula
2015,40.41152,-75.65998,Lycorma delicatula
2016,40.33373404,-75.63740842,Lycorma delicatula
2016,40.3614609,-75.48274218,Lycorma delicatula
2016,40.47692859,-75.62499411,Lycorma delicatula
2016,40.37254754,-75.62201556,Lycorma delicatula
2016,40.592449,-75.521499,Lycorma delicatula
2016,40.38060995,-75.71914539,Lycorma delicatula
2017,40.43288027,-75.64246734,Lycorma delicatula
2017,40.391455,-75.65577,Lycorma delicatula
2017,40.39154667,-75.65271667,Lycorma delicatula
2017,40.40342028,-75.7382187,Lycorma delicatula
2017,40.40342028,-75.7382187,Lycorma delicatula
2017,40.26373181,-75.49408543,Lycorma delicatula
2017,40.4226113,-75.5142649,Lycorma delicatula
2017,40.4226113,-75.5142649,Lycorma delicatula
2017,40.4226113,-75.5142649,Lycorma delicatula
2017,40.3465851,-75.48504848,Lycorma delicatula
2017,40.39609374,-75.55388608,Lycorma delicatula
2017,40.1941965,-75.45761297,Lycorma delicatula
2017,40.19414297,-75.45756698,Lycorma delicatula
2017,40.19418011,-75.45757542,Lycorma delicatula
2017,40.19414886,-75.4575325,Lycorma delicatula
2017,40.41360132,-75.67194412,Lycorma delicatula
2017,40.35806797,-76.41286757,Lycorma delicatula
2017,40.449494,-75.61560471,Lycorma delicatula
2017,40.42823333,-75.339295,Lycorma delicatula
2017,40.14558387,-75.62198615,Lycorma delicatula
2017,40.44655515,-75.45804977,Lycorma delicatula
2017,40.1874423,-75.65339951,Lycorma delicatula
2017,40.19278333,-75.457175,Lycorma delicatula
2017,40.42937102,-75.33710146,Lycorma delicatula
2017,40.4168663,-75.92050171,Lycorma delicatula
2017,40.48183161,-75.51553681,Lycorma delicatula
2017,40.62247986,-75.38189482,Lycorma delicatula
2017,40.20362833,-75.39251667,Lycorma delicatula
2017,40.13529331,-75.51762071,Lycorma delicatula
2017,40.16706333,-75.57990333,Lycorma delicatula
2017,40.174105,-75.584155,Lycorma delicatula
2017,40.35739167,-75.58248,Lycorma delicatula
2017,40.21289205,-75.67853237,Lycorma delicatula
2017,40.28404422,-75.84093587,Lycorma delicatula
2017,40.28514889,-75.61771585,Lycorma delicatula
2017,40.53172833,-75.63761167,Lycorma delicatula
2017,40.48197821,-75.51591022,Lycorma delicatula
2017,40.48189712,-75.51560495,Lycorma delicatula
2017,40.48211667,-75.51585333,Lycorma delicatula
2017,40.36229636,-75.31245913,Lycorma delicatula
2017,40.27614667,-75.735305,Lycorma delicatula
2017,40.34545603,-75.97051655,Lycorma delicatula
2017,40.334152,-75.63772,Lycorma delicatula
2017,40.53461074,-75.58894719,Lycorma delicatula
2017,40.53454607,-75.58900192,Lycorma delicatula
2017,40.29721167,-75.35337,Lycorma delicatula
2017,40.36329998,-75.90984081,Lycorma delicatula
2017,40.44625951,-75.2829671,Lycorma delicatula
2017,40.92804488,-75.52983778,Lycorma delicatula
2017,40.28550524,-75.45321106,Lycorma delicatula
2017,40.43653,-75.58578667,Lycorma delicatula
2017,40.23403608,-75.68473686,Lycorma delicatula
2017,40.28412129,-75.64716388,Lycorma delicatula
2017,40.54131709,-75.35615703,Lycorma delicatula
2017,40.51333736,-75.39106444,Lycorma delicatula
2017,40.50194913,-75.70110787,Lycorma delicatula
2017,40.31042833,-75.72450333,Lycorma delicatula
2017,40.59087,-75.5279,Lycorma delicatula
2017,40.31051667,-75.725005,Lycorma delicatula
2017,40.41182,-75.66003333,Lycorma delicatula
2018,40.52293833,-75.77485,Lycorma delicatula
2018,40.38729444,-76.04336667,Lycorma delicatula
2018,40.38733333,-76.04344167,Lycorma delicatula
2018,40.40235833,-76.06375833,Lycorma delicatula
2018,40.16808597,-75.38731322,Lycorma delicatula
2018,40.02526763,-75.09664021,Lycorma delicatula
2018,40.32679375,-75.60254943,Lycorma delicatula
2018,40.2058444,-75.7931355,Lycorma delicatula
2018,40.336567,-75.905659,Lycorma delicatula
2018,40.27439048,-75.87808696,Lycorma delicatula
2018,40.34132731,-75.98096486,Lycorma delicatula
2018,40.51508102,-75.79021125,Lycorma delicatula
2018,40.30222222,-75.74166667,Lycorma delicatula
2018,40.44638889,-75.88805556,Lycorma delicatula
2018,40.1405829,-75.34587845,Lycorma delicatula
2018,40.29768333,-75.15695283,Lycorma delicatula
2018,40.20738786,-75.50055781,Lycorma delicatula
2018,40.59048889,-75.63003611,Lycorma delicatula
