"","year","county","detections","ppt","tmin","tmax","tot_population","med_income","presence","tmean","county_x","county_y","neighbour_detections","presence_t1"
"1",2014,"adams",0,1191.33752441406,4.4230842590332,15.6444292068481,101566,60068,"no detection",10.0337567329407,1581891.69323659,2029400.43005374,0,"no detection"
"2",2015,"adams",0,1197.61474609375,5.5401029586792,16.8790283203125,101767,60356,"no detection",11.2095656394958,1581891.69323659,2029400.43005374,0,"no detection"
"3",2016,"adams",0,996.867614746094,6.13738107681274,17.6599617004395,101759,61927,"no detection",11.8986713886261,1581891.69323659,2029400.43005374,0,"no detection"
"4",2017,"adams",0,1068.89294433594,6.34801912307739,17.4236373901367,101589,62661,"no detection",11.8858282566071,1581891.69323659,2029400.43005374,0,"no detection"
"5",2018,"adams",0,1841.19787597656,6.33628463745117,16.3596210479736,102023,64507,"no detection",11.3479528427124,1581891.69323659,2029400.43005374,1,"no detection"
"6",2019,"adams",0,1339.08251953125,6.07686376571655,17.2247009277344,102470,67253,"no detection",11.6507823467255,1581891.69323659,2029400.43005374,0,"no detection"
"7",2020,"adams",0,1021.74914550781,6.72701215744019,17.8137912750244,102627,68411,"no detection",12.2704017162323,1581891.69323659,2029400.43005374,15,"detection"
"8",2021,"adams",1,1098.36535644531,6.89145421981812,17.6671447753906,103782,72492,"detection",12.2792994976044,1581891.69323659,2029400.43005374,113,"detection"
"9",2022,"adams",14,1086.54553222656,5.59851360321045,17.0620880126953,104604,78975,"detection",11.3303008079529,1581891.69323659,2029400.43005374,241,"detection"
"10",2014,"allegheny",0,1047.33837890625,4.31079816818237,15.0731239318848,1229172,52390,"no detection",9.69196105003357,1340333.88208546,2052716.80001088,0,"detection"
"11",2015,"allegheny",1,1163.25158691406,5.5848217010498,16.4462089538574,1231145,53040,"detection",11.0155153274536,1340333.88208546,2052716.80001088,0,"no detection"
"12",2016,"allegheny",0,1061.12646484375,6.19638919830322,17.2944526672363,1230360,54357,"no detection",11.7454209327698,1340333.88208546,2052716.80001088,0,"no detection"
"13",2017,"allegheny",0,1241.29602050781,6.36572694778442,16.9826068878174,1229605,56333,"no detection",11.6741669178009,1340333.88208546,2052716.80001088,0,"no detection"
"14",2018,"allegheny",0,1636.49829101562,6.1795597076416,15.908899307251,1225561,58383,"no detection",11.0442295074463,1340333.88208546,2052716.80001088,1,"no detection"
"15",2019,"allegheny",0,1388.48608398438,6.05032062530518,16.6389923095703,1221744,61043,"no detection",11.3446564674377,1340333.88208546,2052716.80001088,0,"detection"
"16",2020,"allegheny",6,1072.97766113281,6.66963863372803,17.0307216644287,1218380,62320,"detection",11.8501801490784,1340333.88208546,2052716.80001088,0,"detection"
"17",2021,"allegheny",125,1184.39404296875,6.68789577484131,16.8434600830078,1246116,66659,"detection",11.7656779289246,1340333.88208546,2052716.80001088,9,"detection"
"18",2022,"allegheny",596,1129.95642089844,5.60134696960449,16.2180671691895,1245310,72537,"detection",10.909707069397,1340333.88208546,2052716.80001088,52,"detection"
"19",2014,"armstrong",0,1118.392578125,2.67329502105713,14.3319787979126,68343,45375,"no detection",8.50263690948486,1376472.8030786,2097983.94349325,0,"no detection"
"20",2015,"armstrong",0,1247.28283691406,3.70558261871338,15.8072786331177,67979,44942,"no detection",9.75643062591553,1376472.8030786,2097983.94349325,0,"no detection"
"21",2016,"armstrong",0,1029.4716796875,4.30617713928223,16.7073345184326,67512,45879,"no detection",10.5067558288574,1376472.8030786,2097983.94349325,0,"no detection"
"22",2017,"armstrong",0,1226.52233886719,4.60811614990234,16.2224216461182,66737,47527,"no detection",10.4152688980103,1376472.8030786,2097983.94349325,0,"no detection"
"23",2018,"armstrong",0,1629.57788085938,4.64101648330688,15.1479558944702,66331,49032,"no detection",9.89448618888855,1376472.8030786,2097983.94349325,0,"no detection"
"24",2019,"armstrong",0,1358.54321289062,4.25948762893677,15.847264289856,65867,51410,"no detection",10.0533759593964,1376472.8030786,2097983.94349325,0,"no detection"
"25",2020,"armstrong",0,1116.1083984375,4.77365255355835,16.4030990600586,65356,53545,"no detection",10.5883758068085,1376472.8030786,2097983.94349325,0,"no detection"
"26",2021,"armstrong",0,1128.48937988281,4.72921752929688,16.2984294891357,65967,56838,"no detection",10.5138235092163,1376472.8030786,2097983.94349325,5,"no detection"
"27",2022,"armstrong",0,1198.00524902344,3.20567679405212,15.7442445755005,65538,61011,"no detection",9.47496068477631,1376472.8030786,2097983.94349325,27,"detection"
"28",2014,"beaver",0,1017.52380371094,3.88234066963196,14.6264095306396,170124,50242,"no detection",9.2543751001358,1305892.10036644,2071170.22323548,0,"no detection"
"29",2015,"beaver",0,1135.65649414062,5.00753879547119,15.9882411956787,169785,50581,"no detection",10.497889995575,1305892.10036644,2071170.22323548,1,"no detection"
"30",2016,"beaver",0,1018.41986083984,5.77020883560181,16.8923511505127,169205,51887,"no detection",11.3312799930573,1305892.10036644,2071170.22323548,0,"no detection"
"31",2017,"beaver",0,1183.06701660156,5.90122222900391,16.4896259307861,168161,53981,"no detection",11.195424079895,1305892.10036644,2071170.22323548,0,"no detection"
"32",2018,"beaver",0,1542.37585449219,5.62960004806519,15.4523811340332,166896,55828,"no detection",10.5409905910492,1305892.10036644,2071170.22323548,1,"no detection"
"33",2019,"beaver",0,1420.15966796875,5.44071674346924,16.0915641784668,165833,57807,"no detection",10.766140460968,1305892.10036644,2071170.22323548,0,"no detection"
"34",2020,"beaver",0,1091.47131347656,6.36460638046265,16.6608657836914,164781,59014,"no detection",11.512736082077,1305892.10036644,2071170.22323548,6,"detection"
